province,city,district,show_address,full_address,cnt_sum_certain
云南省,玉溪市,红塔区,大石板社区秧草塘村,云南省玉溪市红塔区北城街道大石板社区秧草塘村,2
云南省,玉溪市,红塔区,华瑞小区,云南省玉溪市红塔区红塔大道50号华瑞小区,4
云南省,玉溪市,红塔区,玉景苑小区,云南省玉溪市红塔区玉景苑小区,1
云南省,德宏傣族景颇族自治州,瑞丽市,五缘玉城小区,云南省德宏傣族景颇族自治州瑞丽市五缘玉城小区,1
云南省,昆明市,东川区,黄包谷地小组,云南省昆明市东川区乌龙镇黄包谷地小组,-1
云南省,昆明市,五华区,江东耀龙康城8栋3单元,云南省昆明市五华区红云街道江东耀龙康城8栋3单元,-1
云南省,昆明市,五华区,春晖小区颐达园3栋,云南省昆明市五华区丰宁街道春晖小区颐达园3栋,-1
云南省,昆明市,官渡区,昆船花园小区13栋2单元,云南省昆明市官渡区昆船花园小区13栋2单元,-1
云南省,昆明市,官渡区,都市坐标小区B栋7单元,云南省昆明市官渡区太和街道都市坐标小区B栋7单元,1
云南省,昆明市,官渡区,星体花园北区13栋1单元,云南省昆明市官渡区矣六街道星体花园北区13栋1单元,-1
云南省,昆明市,寻甸县,塘子街道办事处小瓦匠村,云南省昆明市寻甸县塘子街道办事处小瓦匠村,-1
云南省,昆明市,盘龙区,金殿伍家村,云南省昆明市盘龙区金殿伍家村,1
云南省,昆明市,盘龙区,云锡花园2区西区1栋2单元,云南省昆明市盘龙区联盟街道云锡花园2区西区1栋2单元,1
云南省,昆明市,西山区,绿地大城天地4B商业22-5栋,云南省昆明市西山区永昌街道绿地大城天地4B商业22-5栋,-1
云南省,昆明市,西山区,尚领明珠1栋,云南省昆明市西山区马街街道办事处西苑浦路尚领明珠1栋,1
云南省,昆明市,安宁市,恒大金碧天下博雅苑25栋1单元,云南省昆明市安宁市金方街道恒大金碧天下博雅苑25栋1单元,-1
云南省,西双版纳傣族自治州,景洪市,曼伞囡村,云南省西双版纳傣族自治州景洪市曼哈乡曼伞囡村,1
云南省,西双版纳傣族自治州,景洪市,景洪农场三分场,云南省西双版纳傣族自治州景洪市 景洪农场三分场,1
吉林省,吉林市,丰满区,中海紫御江城,吉林省吉林市丰满区中海紫御江城,1
吉林省,吉林市,昌邑区,吉炭小区,吉林省吉林市昌邑区吉炭小区,1
吉林省,长春市,净月区,万科城,吉林省长春市净月区万科城,3
吉林省,长春市,净月区,东城国际花园小区,吉林省长春市净月区博学路东城国际花园小区,1
吉林省,长春市,净月区,财苑家园,吉林省长春市净月区净月街道财苑家园,2
吉林省,长春市,朝阳区,崇智路694号,吉林省长春市朝阳区崇智路694号,5
吉林省,长春市,绿园区,西城国际公馆,吉林省长春市绿园区西城国际公馆,1
吉林省,长春市,绿园区,长客花园,吉林省长春市绿园区长客花园,1
吉林省,长春市,高新区,恒大绿洲,吉林省长春市高新区恒大绿洲,5
吉林省,长春市,高新区,中海兰庭小区,吉林省长春市高新区中海兰庭小区,1
吉林省,长春市,高新区,飞跃经典小区,吉林省长春市高新区飞跃经典小区,1
吉林省,长春市,高新区,吉大南校家属楼,吉林省长春市高新区吉大南校家属楼,1
吉林省,长春市,高新区,北湾新城,吉林省长春市高新区北湾新城,1
吉林省,长春市,九台区,铁路家属楼,吉林省长春市九台区工商一条街铁路家属楼,1
吉林省,长春市,九台区,龙凤二期,吉林省长春市九台区龙凤二期,1
吉林省,长春市,二道区,天富北苑,吉林省长春市二道区天富北苑,1
吉林省,长春市,二道区,力旺康城小区,吉林省长春市二道区力旺康城小区,1
吉林省,长春市,宽城区,北十条荣旺天下,吉林省长春市宽城区北十条荣旺天下,1
吉林省,长春市,宽城区,金都小镇,吉林省长春市宽城区金都小镇,1
吉林省,长春市,经开区,首地首城,吉林省长春市经开区首地首城,4
吉林省,长春市,经开区,像素公园,吉林省长春市经开区像素公园,2
吉林省,长春市,经开区,东方广场爱琴湾,吉林省长春市经开区东方广场爱琴湾,1
吉林省,长春市,南关区,达顺小区,吉林省长春市南关区东岭南街达顺小区,2
吉林省,四平市,公主岭市,双河村1组,吉林省四平市公主岭市十屋镇双河村1组,1
吉林省,四平市,公主岭市,南平村5队,吉林省四平市公主岭市秦家屯镇南平村5队,1
吉林省,四平市,公主岭市,三合堡村8组,吉林省四平市公主岭市怀德镇三合堡村8组,2
吉林省,辽源市,东辽县,龙腾花园,吉林省辽源市东辽县渭津镇龙腾花园,1
吉林省,延吉市,五常市,光明小区,吉林省延吉市光明小区,1
天津市,天津市,宁河区,运河家园,天津市宁河区芦台镇运河家园,3
天津市,天津市,宁河区,王北村,天津市宁河区芦台镇王北村,1
天津市,天津市,宝坻区,窝贝厂村,天津市宝坻区林亭口镇窝贝厂村,1
天津市,天津市,宝坻区,林亭口镇,天津市宝坻区林亭口镇,2
天津市,天津市,宝坻区,林亭口一村,天津市宝坻区林亭口镇林亭口一村,2
天津市,天津市,宝坻区,林亭口五村,天津市宝坻区林亭口镇林亭口五村,3
天津市,天津市,宝坻区,古庄村,天津市宝坻区大口屯镇古庄村,1
天津市,天津市,宝坻区,大钟庄村,天津市宝坻区大钟庄镇大钟庄村,2
天津市,天津市,宝坻区,大中庄村,天津市宝坻区大钟庄镇大中庄村,1
天津市,天津市,宝坻区,前齐各庄村,天津市宝坻区口东镇前齐各庄村,4
天津市,天津市,宝坻区,提香轩小区,天津市宝坻区宝平街道提香轩小区,1
天津市,天津市,宝坻区,凯旋家园小区,天津市宝坻区宝平街道凯旋家园小区,2
天津市,天津市,宝坻区,金玉四园小区,天津市宝坻区钰华街道金玉四园小区,1
天津市,天津市,宝坻区,钰华街道,天津市宝坻区钰华街道,1
天津市,天津市,宝坻区,宝境檀香小区,天津市宝坻区宝平街道宝境檀香小区,1
天津市,天津市,宝坻区,逸城雅园小区,天津市宝坻区宝平街道逸城雅园小区,1
天津市,天津市,宝坻区,河景馨园小区,天津市宝坻区宝平街道河景馨园小区,3
天津市,天津市,宝坻区,华苑东区,天津市宝坻区宝平街道华苑东区,1
