"Final score"	"Quiz 1"	"Quiz 2"	"Quiz 3"	"Quiz 4"	"Quiz 5"	"Quiz 6"	"Quiz 8.1"	"Quiz 8.2"	"Quiz 9.1"	"Quiz 9.2"	"Quiz 10.1"	"Quiz 10.2"	"Final exam"
88.85	"34.50"	"45.00"	"46.20"	"37.00"	"37.25"	"36.25"	"9.50"	"26.00"	"11.00"	"26.50"	"11.00"	"16.02"	"266.66666"
74.05	"29.50"	"12.00"	"21.00"	"11.00"	"7.50"	"32.00"	"11.00"	"28.50"	"10.33333"	"21.50"	"10.00"	"15.48"	"212.66667"
63.05	"28.30"	"23.00"	"3.00"	"10.00"	"24.00"	"30.00"	"8.50"	"30.00"	"6.33333"	"0.00000"	"12.00"	"12.96"	"187.50"
96.49	"40.00"	"49.00"	"45.90"	"40.00"	"39.95"	"39.00"	"9.50"	"31.00"	"11.00"	"26.50"	"10.00"	"13.37"	"277.50"
81.72	"40.00"	"48.50"	"45.00"	"35.00"	"34.50"	"34.80"	"10.50"	"32.00"	"11.00"	"20.15"	"11.00"	"12.42"	"154.33333"
85.96	"37.10"	"50.00"	"46.20"	"37.00"	"38.00"	"36.00"	"10.50"	"23.00"	"12.00"	"19.60"	"12.00"	"8.46"	"203.33333"
93.43	"41.00"	"47.00"	"46.70"	"37.50"	"42.00"	"40.00"	"5.50"	"27.333"	"12.00"	"22.90"	"9.00"	"15.34"	"239.16667"
66.33	"34.80"	"45.00"	"24.00"	"24.00"	"25.50"	"19.00"	"5.50"	"10.00"	"9.33333"	"21.80"	"0"	"9.32"	"183.33333"
87.04	"40.80"	"48.00"	"46.00"	"31.50"	"33.00"	"36.00"	"9.50"	"32.50"	"10.00"	"26.25"	"8.00"	"12.96"	"205.00"
67.63	"41.00"	"37.00"	"36.20"	"0.00000"	"16.75"	"9.50"	"9.50"	"9.00"	"6.00"	"17.85"	"11.00"	"6.30"	"182.66667"
74.91	"31.50"	"18.00"	"36.70"	"38.00"	"28.25"	"35.50"	"9.50"	"20.50"	"11.00"	"13.80"	"8.00"	"14.49"	"180.83333"
59.5	"36.00"	"42.00"	"35.20"	"34.00"	"25.00"	"18.00"	"10.00"	"0.00000"	"8.33333"	"14.50"	"9.00"	"5.40"	"128.33333"
85.46	"41.00"	"45.00"	"46.70"	"38.50"	"40.90"	"39.00"	"8.50"	"0.00000"	"12.00"	"21.20"	"10.00"	"10.94"	"229.16667"
84.99	"38.50"	"19.00"	"46.20"	"33.00"	"33.00"	"37.00"	"10.00"	"33.00"	"8.00"	"22.30"	"12.00"	"10.39"	"190.83333"
79.46	"36.00"	"32.00"	"36.20"	"35.00"	"36.00"	"37.50"	"2.00"	"24.50"	"11.00"	"26.50"	"0"	"0.00000"	"185.83333"
76.66	"21.00"	"45.00"	"42.70"	"37.00"	"34.50"	"34.50"	"9.50"	"33.00"	"11.00"	"26.85"	"11.00"	"7.69"	"165.33333"
63.41	"36.50"	"41.50"	"45.20"	"34.00"	"38.50"	"34.00"	"4.00"	"23.00"	"4.00"	"0.00000"	"8.00"	"5.58"	"67.66667"
67.77	"33.50"	"42.00"	"38.70"	"29.50"	"22.50"	"24.50"	"9.00"	"18.50"	"7.00"	"25.20"	"10.00"	"12.28"	"165.00"
80.99	"41.00"	"44.00"	"44.70"	"37.00"	"35.00"	"32.50"	"9.50"	"15.50"	"7.33333"	"17.00"	"7.00"	"14.53"	"226.00"
84.1	"37.50"	"41.50"	"44.20"	"37.50"	"36.00"	"28.50"	"0"	"0"	"8.33333"	"22.40"	"7.00"	"14.76"	"170.00"
37.97	"18.50"	"34.00"	"0"	"20.50"	"12.75"	"29.00"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
75.67	"37.00"	"30.00"	"44.20"	"32.50"	"29.00"	"30.50"	"11.00"	"19.00"	"10.33333"	"13.50"	"9.00"	"14.13"	"182.66667"
77.1	"38.00"	"44.00"	"44.00"	"35.00"	"38.75"	"39.00"	"9.50"	"29.50"	"7.00"	"24.50"	"10.00"	"12.06"	"146.00"
80.43	"41.80"	"33.00"	"9.70"	"35.50"	"29.00"	"29.00"	"11.00"	"19.00"	"6.33333"	"20.50"	"9.00"	"12.06"	"224.16667"
28.69	"32.50"	"28.00"	"30.50"	"0.00000"	"2.50"	"25.00"	"0.00000"	"0.00000"	"0.00000"	"0"	"0"	"0"	"0"
82.64	"32.00"	"44.50"	"43.70"	"35.00"	"37.00"	"36.00"	"6.50"	"8.00"	"7.33333"	"0.00000"	"5.00"	"8.00"	"241.66667"
75.53	"38.50"	"44.00"	"48.20"	"38.00"	"39.00"	"38.00"	"6.50"	"15.00"	"12.00"	"23.05"	"10.00"	"0.00000"	"144.33333"
87.79	"41.00"	"41.00"	"46.40"	"37.00"	"38.50"	"35.80"	"9.50"	"20.00"	"9.33333"	"19.40"	"2.00"	"13.91"	"248.33333"
71.11	"36.00"	"37.00"	"36.70"	"37.00"	"28.00"	"31.00"	"9.50"	"31.50"	"7.00"	"15.35"	"12.00"	"5.40"	"132.66667"
85.81	"38.10"	"48.00"	"47.00"	"37.00"	"39.50"	"32.50"	"4.50"	"18.00"	"12.00"	"24.40"	"9.00"	"17.72"	"200.00"
82.87	"40.00"	"45.00"	"33.70"	"33.00"	"37.00"	"32.50"	"9.50"	"30.00"	"11.00"	"25.85"	"12.00"	"12.47"	"196.66667"
82.13	"38.50"	"46.00"	"45.70"	"37.00"	"37.50"	"35.50"	"9.50"	"23.00"	"10.33333"	"16.50"	"10.00"	"8.10"	"190.00"
79.04	"39.80"	"37.00"	"22.20"	"30.70"	"29.00"	"34.00"	"8.00"	"24.00"	"10.00"	"26.80"	"12.00"	"14.53"	"226.66667"
80.69	"37.50"	"48.50"	"42.20"	"34.00"	"38.50"	"35.50"	"9.50"	"18.00"	"12.00"	"20.80"	"12.00"	"9.18"	"203.33333"
46.04	"13.50"	"16.00"	"14.50"	"5.00"	"14.00"	"15.50"	"0.50"	"15.00"	"5.00"	"1.10"	"12.00"	"6.98"	"131.00"
69.53	"0.00000"	"32.00"	"30.70"	"29.50"	"22.00"	"25.00"	"6.50"	"20.80"	"7.33333"	"19.15"	"12.00"	"10.58"	"250.83333"
75.91	"39.30"	"35.00"	"34.70"	"9.00"	"39.75"	"23.50"	"11.50"	"21.80"	"11.00"	"21.90"	"10.00"	"13.95"	"199.16667"
63.45	"18.50"	"0"	"24.70"	"33.50"	"26.00"	"28.50"	"10.50"	"18.00"	"12.00"	"23.95"	"10.50"	"8.73"	"133.66667"
81.2	"34.50"	"43.00"	"36.70"	"32.00"	"36.00"	"32.00"	"10.50"	"30.00"	"2.33333"	"19.70"	"10.00"	"2.70"	"215.83333"
50.33	"21.50"	"2.00"	"30.70"	"3.00"	"5.00"	"5.25"	"6.00"	"0.00000"	"3.33333"	"0.00000"	"4.00"	"13.53"	"188.66667"
79.46	"37.50"	"14.00"	"20.50"	"35.00"	"29.00"	"32.00"	"8.00"	"27.50"	"10.33333"	"0.00000"	"8.00"	"17.10"	"244.16667"
71.48	"22.50"	"15.00"	"23.20"	"28.00"	"28.50"	"37.00"	"8.50"	"32.00"	"11.00"	"23.50"	"11.00"	"8.59"	"157.00"
84.58	"40.00"	"47.50"	"39.80"	"33.00"	"37.50"	"36.50"	"9.50"	"24.00"	"12.00"	"8.00"	"10.00"	"10.80"	"212.50"
