43 Things,Goal setting and achievement,1 January 2005,3000000,Closed,12914
Academia.edu,Social networking site for academics/researchers,September 2008,18000000,Open,824
About.me,Social networking site,October 2009,5000000,Open,1447
Advogato,Free and open source software developers,1999,13575,Open,292620
aNobii,Books,2006,,Open,26939
AsianAvenue,A social network for the Asian American community,1997,,Open,170384
aSmallWorld,European jet set and social elite world-wide,March 2004,550000,Invite-only,580060
Athlinks,"Running, swimming",2001,139458,Open,69170
Audimated.com,Independent music,2010,,Open,656507
Bebo,General,July 2005,117000000,Open to people 13 and older,4169
Biip.no,Norwegian community,1 June 2005,430000,Requires Norwegian phone number,81916
BlackPlanet,Black Americans,1 September 1999,20000000,Open,7193
Bolt.com,General,1996,,Open,589595
Busuu,"Language learning community (headquartered in Madrid, Spain)",16 May 2008,12000000,Open,4976
Buzznet,Music and pop-culture,2005,10000000,Open,6955
CafeMom,Mothers,December 2006,1250000,Open to moms and moms-to-be,1293
Care2,Green living and social activism,1998,9961947,Open,1930
CaringBridge,"Not for profit providing free websites that connect family and friends during a serious health event, care and recovery.",1997,9500000,Open to people 18 and older,4279
Classmates.com,"School, college, work and the military",1995,50000000,Open to people 18 and older,3284
Cloob,General. Popular in Iran,2004,,Open,749
ClusterFlunk,American network for students to share files with their peers,2012,,,545917
CouchSurfing,Worldwide network for making connections between travelers and the communities they visit.,2003,2967421,Open,2231
CozyCot,East Asian and Southeast Asian women,2001,150000,Open,36959
Cross.tv,Faith-based social network for Christian believers from around the world,2008,450000,Open,53394
Crunchyroll,Anime and forums.,2006,,Open,5721
Cucumbertown,Networking for cooks,2012,,Open,175796
Cyworld,General. Popular in South Korea.,1999,24000000,Open,1616
DailyBooth,Photo-blogging site where users upload a photo every day,13 February 2009,,Closed,5963
DailyStrength,"Medical & emotional support community - physical health, mental health, support groups",4 November 2007,,Open,10511
delicious,Social bookmarking allowing users to locate and save websites that match their own interests,September 2003,8822921,Open,436
DeviantArt,Art community,7 August 2000,26000000,Open to people 13 and older,131
Diaspora*,"Decentralized, privacy aware, general (open source)",November 2010,370000,Open,36792
Disaboom,"People with disabilities (amputees, cerebral palsy, MS, and other disabilities)",2007,,Open,218135
Dol2day,"Politic community, social network, Internet radio (German-speaking countries)",15 May 2000,40200,Open,385237
DontStayIn,Clubbing (primarily UK),April 2003,,Open,86535
Draugiem.lv,"General (primarily LV, LT, HU)","April 24, 2004",2600466,Invitation only,2698
douban,"Chinese Web 2.0 website providing user review and recommendation services for movies, books, and music.",2005,46850000,Open,106
Doximity,U.S. Physicians and medical doctors.,2011,400000,U.S. physicians only,27539
Dreamwidth,Blogging.,2009,,Open,6384
DXY.cn,"Chinese online community for physicians, health care professionals, pharmacies and facilities",2000,2000000,Open,8367
Elftown,Community and wiki around fantasy and sci-fi.,Feb 2002,185000,"Open, approval needed",43277
Ello,General,03/01/14,,Invite only while in beta,106782
Elixio,Business executives jet set and global elite.,July 2007,80000,Invite-only,545268
"English, baby!",Students and teachers of English as a second language,2000,1600000,Open,29585
Epernicus,For research scientists,,,Open,798086
Eons.com,For baby boomers and mature internet users age 40 and beyond.,Jul 2006,,Open to people age 40 years and older,73767
eToro,"Social investing, finance",May 2007,2500000,Open,1591
Experience Project,Life experiences,2007,,Open,2658
Exploroo,Travel social networking.,12 May 2009,,Open,163545
Facebook,"General: photos, videos, blogs, apps.",February 2004,1280000000,Open to people 13 and older,2
Faceparty,General. Popular UK.,2000,200000,Invitation only to people 18 and older,163639
Fetlife,People who are into BDSM,January 2008,2701715,"Open to people ""of legal age to see adult content""",4131
FilmAffinity,Movies and TV series,2002,250000,Open,3151
Filmow,Movies and TV series,2009,,Open,44630
FledgeWing,Entrepreneurial community targeted towards worldwide university students,Feb 2009,,Open to university students,696513
Flixster,Movies,2007,63000000,Open to people 13 and older,4012
Flickr,"Photo sharing, commenting, photography related networking, worldwide",February 2004,32000000,Open to people 13 and older (Yahoo! Login),48
Focus.com,"Business-to-business, worldwide",2005,850000,Open to people 13 and older,12114
Fotki,"Photo sharing, video hosting, photo contests, journals, forums, flexible privacy protection, friend's feed, audio comments and unlimited custom design integration.",October 1998,1632565,Open,8011
Fotolog,Photoblogging. Popular in South America and Spain,2002,20000000,Open,3168
