State,Year,Beer,Wine,Spirits
Alabama,2009,1.2,0.22,0.58
,2008,1.24,0.22,0.58
,2007,1.24,0.22,0.56
,2006,1.22,0.21,0.55
,2005,1.18,0.2,0.53
,2004,1.19,0.2,0.52
,2003,1.18,0.19,0.52
,2002,1.18,0.21,0.53
,2001,1.16,0.17,0.53
,2000,1.19,0.18,0.51
,1999,1.18,0.17,0.51
,1998,1.16,0.17,0.51
,1997,1.14,0.15,0.52
,1996,1.17,0.15,0.53
,1995,1.14,0.15,0.53
,1994,1.16,0.17,0.54
,1993,1.14,0.17,0.56
,1992,1.02,0.19,0.59
,1991,1,0.17,0.59
,1990,1.12,0.18,0.61
,1989,1.1,0.17,0.6
,1988,1.1,0.18,0.61
,1987,1.1,0.18,0.61
,1986,1.09,0.18,0.64
,1985,1.06,0.17,0.67
,1984,1.02,0.19,0.69
,1983,1.01,0.17,0.71
,1982,1,0.18,0.72
,1981,1,0.19,0.73
,1980,0.96,0.16,0.74
,1979,0.98,0.12,0.84
,1978,0.98,0.12,0.88
,1977,0.99,0.13,0.84
Alaska,2009,1.31,0.54,1.16
,2008,1.2,0.49,1.09
,2007,1.13,0.44,1.07
,2006,1.24,0.46,1.02
,2005,1.24,0.43,0.99
,2004,1.32,0.45,0.96
,2003,1.27,0.37,0.79
,2002,1.36,0.43,1.08
,2001,1.34,0.4,0.97
,2000,1.35,0.37,0.92
,1999,1.45,0.4,0.98
,1998,1.37,0.39,0.98
,1997,1.31,0.36,0.88
,1996,1.31,0.38,0.94
,1995,1.45,0.39,1.02
,1994,1.53,0.4,1.1
,1993,1.31,0.32,0.92
,1992,1.53,0.41,1.08
,1991,1.54,0.43,1.14
,1990,1.62,0.46,1.25
,1989,1.57,0.46,1.24
,1988,1.6,0.49,1.23
,1987,1.64,0.54,1.29
,1986,1.68,0.56,1.27
,1985,1.68,0.58,1.53
,1984,1.73,0.58,1.56
,1983,1.76,0.61,1.7
,1982,1.75,0.56,1.74
,1981,1.71,0.57,1.82
,1980,1.55,0.5,1.7
,1979,1.5,0.47,1.65
,1978,1.39,0.45,1.68
,1977,1.19,0.42,1.7
Arizona,2009,1.19,0.38,0.74
,2008,1.27,0.4,0.75
,2007,1.36,0.33,0.76
,2006,1.31,0.37,0.78
,2005,1.33,0.39,0.74
,2004,1.39,0.33,0.7
,2003,1.41,0.37,0.71
,2002,1.46,0.33,0.69
,2001,1.47,0.33,0.7
,2000,1.48,0.31,0.71
,1999,1.47,0.34,0.69
,1998,1.44,0.32,0.68
,1997,1.45,0.31,0.68
,1996,1.52,0.33,0.73
,1995,1.47,0.29,0.68
,1994,1.52,0.29,0.7
,1993,1.58,0.27,0.76
,1992,1.58,0.31,0.8
,1991,1.58,0.35,0.78
,1990,1.59,0.37,0.8
,1989,1.68,0.36,0.85
,1988,1.64,0.42,0.88
,1987,1.67,0.46,0.86
,1986,1.77,0.46,0.91
,1985,1.67,0.46,1
,1984,1.57,0.45,1.06
,1983,1.62,0.44,1
,1982,1.74,0.4,0.99
,1981,1.78,0.42,1.01
,1980,1.69,0.36,0.98
,1979,1.86,0.39,1.17
,1978,1.77,0.37,1.1
,1977,1.7,0.34,1.05
Arkansas,2009,1.07,0.17,0.6
,2008,1.11,0.17,0.6
,2007,1.07,0.17,0.6
,2006,1.07,0.17,0.59
,2005,1.05,0.16,0.58
,2004,1.07,0.15,0.58
,2003,1.06,0.14,0.56
,2002,1.07,0.14,0.53
,2001,1.06,0.13,0.53
,2000,1.09,0.12,0.53
,1999,1.09,0.12,0.54
,1998,1.1,0.11,0.51
,1997,1.08,0.12,0.52
,1996,1.1,0.12,0.53
,1995,1.08,0.12,0.51
,1994,1.06,0.13,0.46
,1993,1.1,0.11,0.58
,1992,1.13,0.12,0.65
,1991,1.12,0.11,0.58
,1990,1.12,0.13,0.61
,1989,1.08,0.13,0.57
,1988,1.07,0.14,0.53
,1987,1.08,0.11,0.53
,1986,1.06,0.09,0.48
,1985,1.03,0.13,0.58
,1984,1.02,0.12,0.64
,1983,1.03,0.13,0.63
,1982,1.03,0.12,0.63
,1981,1.06,0.12,0.68
,1980,1,0.12,0.69
,1979,0.93,0.1,0.57
,1978,0.97,0.11,0.73
,1977,0.92,0.1,0.63
California,2009,1.05,0.55,0.73
,2008,1.07,0.55,0.72
,2007,1.07,0.55,0.72
,2006,1.05,0.54,0.7
,2005,1.02,0.53,0.68
,2004,1.06,0.51,0.67
,2003,1.06,0.5,0.65
,2002,1.07,0.49,0.63
,2001,1.08,0.48,0.64
,2000,1.07,0.48,0.64
,1999,1.1,0.46,0.62
,1998,1.1,0.45,0.61
,1997,1.12,0.5,0.62
,1996,1.11,0.49,0.64
,1995,1.14,0.45,0.64
,1994,1.09,0.47,0.68
,1993,1.17,0.48,0.69
,1992,1.28,0.51,0.75
,1991,1.22,0.49,0.75
,1990,1.32,0.59,0.87
,1989,1.31,0.61,0.87
,1988,1.34,0.68,0.89
,1987,1.36,0.74,0.93
,1986,1.36,0.79,0.96
,1985,1.32,0.78,1.02
,1984,1.38,0.74,1.07
,1983,1.37,0.75,1.11
,1982,1.37,0.72,1.14
,1981,1.43,0.72,1.21
,1980,1.42,0.71,1.25
,1979,1.42,0.7,1.28
,1978,1.36,0.68,1.32
,1977,1.31,0.67,1.28
Colorado,2009,1.22,0.46,1
,2008,1.27,0.46,1.01
,2007,1.29,0.47,1
,2006,1.27,0.45,0.97
,2005,1.3,0.41,0.99
,2004,1.3,0.43,0.95
,2003,1.34,0.4,0.87
,2002,1.35,0.39,0.9
,2001,1.42,0.41,0.96
,2000,1.35,0.37,0.89
,1999,1.33,0.37,0.75
,1998,1.33,0.37,0.83
,1997,1.3,0.37,0.81
,1996,1.36,0.37,0.84
,1995,1.34,0.35,0.78
,1994,1.36,0.35,0.84
,1993,1.4,0.36,0.86
,1992,1.34,0.36,0.81
,1991,1.39,0.35,0.87
,1990,1.35,0.29,0.75
,1989,1.4,0.37,0.84
,1988,1.42,0.39,0.91
,1987,1.43,0.44,0.93
,1986,1.47,0.46,0.94
,1985,1.47,0.5,1.18
,1984,1.51,0.46,1.12
,1983,1.57,0.46,1.12
,1982,1.64,0.46,1.18
,1981,1.63,0.44,1.26
,1980,1.57,0.47,1.31
,1979,1.68,0.47,1.37
,1978,1.64,0.47,1.43
,1977,1.43,0.36,1.22
Connecticut,2009,0.89,0.59,0.86
,2008,0.94,0.59,0.86
,2007,0.93,0.58,0.85
,2006,0.93,0.55,0.84
,2005,0.9,0.54,0.79
,2004,0.92,0.53,0.79
,2003,0.93,0.52,0.77
,2002,0.95,0.5,0.74
,2001,0.95,0.5,0.74
,2000,0.94,0.49,0.74
,1999,0.94,0.49,0.75
,1998,0.96,0.48,0.74
,1997,0.95,0.48,0.74
,1996,0.94,0.46,0.72
,1995,0.97,0.49,0.77
,1994,0.99,0.43,0.78
,1993,0.96,0.44,0.8
,1992,1.01,0.45,0.83
,1991,1.03,0.43,0.84
,1990,1.09,0.45,0.92
,1989,1.09,0.47,0.98
,1988,1.14,0.51,1.07
,1987,1.15,0.52,1.12
,1986,1.13,0.51,1.15
,1985,1.14,0.5,1.2
,1984,1.1,0.5,1.2
,1983,1.1,0.49,1.23
,1982,1.04,0.49,1.2
,1981,1.05,0.44,1.18
,1980,1.06,0.43,1.21
,1979,1.13,0.4,1.2
,1978,1.07,0.38,1.2
,1977,1.05,0.35,1.21
Delaware,2009,1.31,0.57,1.25
,2008,1.36,0.58,1.25
,2007,1.39,0.59,1.25
,2006,1.43,0.6,1.28
,2005,1.43,0.59,1.25
,2004,1.41,0.57,1.28
,2003,1.37,0.56,1.17
,2002,1.39,0.52,1.1
,2001,1.38,0.49,1.06
,2000,1.36,0.48,1.05
,1999,1.4,0.48,1.03
,1998,1.36,0.47,0.98
,1997,1.37,0.46,0.99
,1996,1.39,0.45,0.94
,1995,1.3,0.4,0.92
,1994,1.43,0.38,0.95
,1993,1.46,0.35,0.95
,1992,1.4,0.36,0.97
,1991,1.4,0.35,0.95
,1990,1.44,0.37,1.14
,1989,1.4,0.38,1.13
,1988,1.44,0.4,1.19
,1987,1.44,0.42,1.22
,1986,1.45,0.44,1.23
,1985,1.46,0.41,1.3
,1984,1.51,0.38,1.28
,1983,1.53,0.35,1.34
,1982,1.53,0.34,1.36
,1981,1.51,0.32,1.39
,1980,1.45,0.29,1.38
,1979,1.38,0.27,1.34
,1978,1.33,0.25,1.33
,1977,1.32,0.24,1.35
District of Columbia,2009,1.26,1,1.64
,2008,1.34,1,1.63
,2007,1.35,0.99,1.61
,2006,1.36,0.95,1.58
,2005,1.38,0.92,1.53
,2004,1.41,0.94,1.57
,2003,1.4,0.9,1.54
,2002,1.36,0.84,1.47
,2001,1.33,0.82,1.46
,2000,1.35,0.7,1.48
,1999,1.37,0.73,1.35
,1998,1.37,0.73,1.44
,1997,1.4,0.74,1.61
,1996,1.42,0.74,1.47
,1995,1.51,0.72,1.52
,1994,1.5,0.74,1.52
,1993,1.51,0.73,1.54
,1992,1.61,0.7,1.74
,1991,1.42,0.61,1.85
,1990,1.42,0.76,1.96
,1989,1.49,0.88,1.85
,1988,1.47,0.99,2.02
,1987,1.48,1,2.37
,1986,1.52,1.04,2.19
,1985,1.49,1.03,2.42
,1984,1.56,1.11,2.68
,1983,1.55,1.08,2.79
,1982,1.48,1,2.91
,1981,1.5,1.06,2.92
,1980,1.49,0.99,2.94
,1979,1.48,0.99,3.03
,1978,1.43,0.94,3.14
,1977,1.39,0.89,3.26
Florida,2009,1.21,0.48,0.92
,2008,1.25,0.49,0.9
,2007,1.3,0.49,0.93
,2006,1.33,0.48,0.92
,2005,1.34,0.47,0.91
,2004,1.35,0.46,0.89
,2003,1.32,0.44,0.86
,2002,1.32,0.43,0.84
,2001,1.33,0.4,0.82
,2000,1.32,0.4,0.82
,1999,1.33,0.4,0.8
,1998,1.3,0.38,0.79
,1997,1.34,0.37,0.8
,1996,1.36,0.37,0.81
,1995,1.34,0.35,0.82
,1994,1.4,0.33,0.87
,1993,1.44,0.33,0.92
,1992,1.45,0.34,0.96
,1991,1.43,0.34,0.92
,1990,1.54,0.39,1.04
,1989,1.51,0.39,1
,1988,1.51,0.41,1
,1987,1.51,0.42,1.03
,1986,1.5,0.41,1.05
,1985,1.47,0.41,1.16
,1984,1.48,0.4,1.24
,1983,1.56,0.4,1.23
,1982,1.56,0.4,1.33
,1981,1.55,0.39,1.38
,1980,1.42,0.37,1.43
,1979,1.47,0.37,1.51
,1978,1.41,0.34,1.48
,1977,1.33,0.33,1.47
Georgia,2009,1.08,0.25,0.64
,2008,1.13,0.25,0.64
,2007,1.16,0.26,0.64
,2006,1.17,0.26,0.64
,2005,1.13,0.26,0.63
,2004,1.17,0.26,0.63
,2003,1.19,0.26,0.66
,2002,1.2,0.26,0.65
,2001,1.19,0.26,0.65
,2000,1.22,0.26,0.69
,1999,1.23,0.27,0.69
,1998,1.21,0.24,0.7
,1997,1.19,0.25,0.7
,1996,1.22,0.24,0.7
,1995,1.2,0.22,0.71
,1994,1.17,0.2,0.77
,1993,1.23,0.2,0.77
,1992,1.22,0.21,0.79
,1991,1.16,0.22,0.78
,1990,1.22,0.23,0.86
,1989,1.18,0.24,0.94
,1988,1.22,0.26,0.92
,1987,1.22,0.27,1
,1986,1.22,0.27,0.95
,1985,1.17,0.25,1.01
,1984,1.18,0.23,1.06
,1983,1.14,0.22,1.05
,1982,1.12,0.21,1.04
,1981,1.1,0.18,1.09
,1980,1.07,0.19,1.09
,1979,1.17,0.19,1.22
,1978,1.14,0.19,1.26
,1977,1.08,0.16,1.23
Hawaii,2009,1.3,0.53,0.75
,2008,1.35,0.52,0.74
,2007,1.34,0.49,0.8
,2006,1.3,0.48,0.78
,2005,1.32,0.46,0.74
,2004,1.39,0.49,0.68
,2003,1.3,0.42,0.67
,2002,1.27,0.39,0.62
,2001,1.3,0.38,0.6
,2000,1.33,0.39,0.6
,1999,1.31,0.39,0.56
,1998,1.32,0.37,0.54
,1997,1.37,0.37,0.56
,1996,1.4,0.36,0.58
,1995,1.41,0.34,0.57
,1994,1.46,0.38,0.62
,1993,1.49,0.37,0.65
,1992,1.55,0.39,0.69
,1991,1.57,0.4,0.7
,1990,1.64,0.4,0.79
,1989,1.54,0.43,0.79
,1988,1.62,0.45,0.79
,1987,1.57,0.4,0.76
,1986,1.6,0.44,0.85
,1985,1.59,0.41,0.88
,1984,1.65,0.41,0.91
,1983,1.87,0.44,1.12
,1982,1.8,0.48,1.14
,1981,1.74,0.44,1.16
,1980,1.65,0.46,1.21
,1979,1.6,0.44,1.28
,1978,1.38,0.46,1.3
,1977,1.61,0.36,1.26
Idaho,2009,1.05,0.92,0.7
,2008,1.15,0.81,0.69
,2007,1.18,0.74,0.67
,2006,1.14,0.74,0.65
,2005,1.1,0.73,0.61
,2004,1.12,0.71,0.57
,2003,1.14,0.64,0.54
,2002,1.16,0.64,0.53
,2001,1.14,0.63,0.53
,2000,1.16,0.65,0.51
,1999,1.17,0.68,0.52
,1998,1.15,0.59,0.51
,1997,1.14,0.36,0.5
,1996,1.18,0.3,0.51
,1995,1.15,0.3,0.53
,1994,1.24,0.35,0.53
,1993,1.26,0.29,0.55
,1992,1.32,0.31,0.57
,1991,1.31,0.32,0.56
,1990,1.36,0.33,0.58
,1989,1.23,0.3,0.56
,1988,1.25,0.36,0.58
,1987,1.31,0.38,0.58
,1986,1.34,0.38,0.61
,1985,1.35,0.36,0.71
,1984,1.4,0.31,0.72
,1983,1.44,0.3,0.76
,1982,1.47,0.31,0.81
,1981,1.54,0.33,0.83
,1980,1.53,0.3,0.77
,1979,1.55,0.27,0.84
,1978,1.5,0.26,0.8
,1977,1.5,0.22,0.79
Illinois,2009,1.22,0.39,0.73
,2008,1.21,0.38,0.73
,2007,1.22,0.41,0.73
,2006,1.23,0.37,0.73
,2005,1.22,0.34,0.7
,2004,1.22,0.31,0.67
,2003,1.25,0.35,0.74
,2002,1.27,0.33,0.65
,2001,1.27,0.32,0.68
,2000,1.28,0.32,0.63
,1999,1.29,0.33,0.66
,1998,1.28,0.34,0.64
,1997,1.26,0.35,0.65
,1996,1.27,0.35,0.68
,1995,1.3,0.33,0.66
,1994,1.32,0.34,0.69
,1993,1.32,0.34,0.72
,1992,1.34,0.35,0.74
