Northeast,New England,Connecticut
,,Maine
,,Massachusetts
,,New Hampshire
,,Rhode Island
,,Vermont
Northeast,Mid-Atlantic,New Jersey
,,New York
,,Pennsylvania
Midwest,East North Central,Illinois
,,Indiana
,,Michigan
,,Ohio
,,Wisconsin
Midwest,West North Central,Iowa
,,Kansas
,,Minnesota
,,Missouri
,,Nebraska
,,North Dakota
,,South Dakota
South,South Atlantic,Delaware
,,Florida
,,Georgia
,,Maryland
,,North Carolina
,,South Carolina
,,Virginia
,,Dictrict of Columbia
,,West Virginia
South,East South Central,Alabama
,,Kentucky
,,Mississippi
,,Tennessee
South,West South Central,Arkansas
,,Louisiana
,,Oklahoma
,,Texas
West,Mountain,Arizona
,,Colorado
,,Idaho
,,Montana
,,Nevada
,,New Mexico
,,Utah
,,Wyoming
West,Pacific,Alaska
,,California
,,Hawaii
,,Oregon
,,Washington
